dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.30194339752197263,0.9104234527687296,0.9073170731707317,0.07916578954979922,0.1356062484369134,0.003106379597997866,0.08998176455497742,2.8433978513930924e-06,True,0.04804253578186035,0.04795315861701965,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,TST-v3-MoE,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.30296024680137634,0.9104234527687296,0.9073170731707317,0.17714754347154407,0.28829474396005705,0.003106379597997866,0.0899076759815216,2.930510618170956e-06,True,0.04826515540480614,0.04817409813404083,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,0.4181645452976227,0.9104234527687296,0.9073170731707317,40.90882154371151,192.73330467127371,0.003106379597997866,0.05453643947839737,0.004283764399588108,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.30666874051094056,0.9104234527687296,0.9073170731707317,1.4417971041824902,2.642722877021558,0.003106379597997866,0.08878429979085922,0.004682951141148806,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.30009437799453736,0.9104234527687296,0.9073170731707317,1.2308374087748402,2.070591033984858,0.003106379597997866,0.1051350012421608,0.005916577763855457,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.2880393475294113,0.9104234527687296,0.9073170731707317,0.9937194709383528,1.2494670351166475,0.003106379597997866,0.08311398327350616,0.006541403476148844,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.2906266778707504,0.9104234527687296,0.9073170731707317,0.847485934490974,1.2254370961485448,0.003106379597997866,0.0710647851228714,0.008255678229033947,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.2802028745412827,0.9104234527687296,0.9073170731707317,1.0649012395647521,1.7195895738797278,0.003106379597997866,0.08403725922107697,0.014874127693474293,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.27568823397159575,0.9104234527687296,0.9073170731707317,1.3486402127258805,1.751463168479693,0.003106379597997866,0.0821271687746048,0.02448357082903385,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.2522018402814865,0.9104234527687296,0.9073170731707317,1.1154523820193698,1.6462287417060302,0.003106379597997866,0.07978477329015732,0.04181728512048721,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.21590565741062165,0.9104234527687296,0.9073170731707317,2.397618377177483,3.7286440132890837,0.003106379597997866,0.06723608076572418,0.0639604851603508,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.167623870074749,0.9446254071661238,0.926829268292683,3.640868425257169,5.4799290572931,0.01779613887344078,0.09036029130220413,0.12966707348823547,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
