model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type
TST-v3-MoE,synthetic_irrelevant_noise,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.502439,76.8425,0.1857,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_irrelevant_noise,42,classification,neural_baseline,local_ft_transformer,ok,accuracy,0.84878,35.5927,0.0937,1024,100,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_irrelevant_noise,42,classification,ablation,TST-v0-tuned,ok,accuracy,0.560976,289.1487,0.2138,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_accuracy,maximize,0.585366,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_irrelevant_noise,42,classification,ablation,TST-v1-Gate-tuned,ok,accuracy,0.560976,232.867,0.2797,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_accuracy,maximize,0.585366,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_irrelevant_noise,42,classification,ablation,TST-v2-GateFourier-tuned,ok,accuracy,0.502439,198.3171,0.2072,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_accuracy,maximize,0.502439,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_irrelevant_noise,42,classification,ablation,TST-v3-MoE-tuned,ok,accuracy,0.502439,193.2601,0.2754,1024,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_3e-4,3e-4,val_accuracy,maximize,0.502439,1,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_rotated,42,classification,baseline,linear,ok,accuracy,0.970732,0.0343,0.0021,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_rotated,42,classification,baseline,random_forest,ok,accuracy,0.931707,0.0989,0.0058,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_rotated,42,classification,baseline,gradient_boosting,ok,accuracy,0.95122,0.3129,0.0043,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_rotated,42,classification,baseline,mlp,ok,accuracy,0.926829,0.0972,0.0024,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_rotated,42,classification,baseline,lightgbm,ok,accuracy,0.95122,0.0883,0.0049,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_rotated,42,classification,baseline,catboost,ok,accuracy,0.956098,2.2093,0.0037,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_rotated,42,classification,ablation,TST-v0,ok,accuracy,0.62439,11.1002,0.0698,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_rotated,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.62439,11.6903,0.04,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_rotated,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.62439,11.7278,0.0416,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
TST-v3-MoE,synthetic_rotated,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.62439,11.4571,0.0574,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_rotated,42,classification,neural_baseline,local_ft_transformer,ok,accuracy,0.941463,6.3744,0.0211,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_rotated,42,classification,ablation,TST-v0-tuned,ok,accuracy,0.926829,40.7506,0.0297,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_3e-4,3e-4,val_accuracy,maximize,0.912195,19,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_rotated,42,classification,ablation,TST-v1-Gate-tuned,ok,accuracy,0.921951,31.1331,0.0447,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_accuracy,maximize,0.921951,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_rotated,42,classification,ablation,TST-v2-GateFourier-tuned,ok,accuracy,0.62439,30.184,0.0511,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_accuracy,maximize,0.624390,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_rotated,42,classification,ablation,TST-v3-MoE-tuned,ok,accuracy,0.62439,28.1532,0.0611,1024,20,outputs/benchmark_artifacts/synthetic_rotated/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_1e-4,1e-4,val_accuracy,maximize,0.624390,1,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_regime,42,regression,baseline,linear,ok,rmse,0.519227,0.0217,0.0019,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_regime,42,regression,baseline,random_forest,ok,rmse,0.303688,0.1757,0.0043,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_regime,42,regression,baseline,gradient_boosting,ok,rmse,0.32562,0.2452,0.0019,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_regime,42,regression,baseline,mlp,ok,rmse,0.412808,0.0646,0.002,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_regime,42,regression,baseline,lightgbm,ok,rmse,0.286742,0.0553,0.0039,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_regime,42,regression,baseline,catboost,ok,rmse,0.209871,1.2301,0.0029,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_regime,42,regression,ablation,TST-v0,ok,rmse,0.64934,17.2267,0.0438,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_regime,42,regression,ablation,TST-v1-Gate,ok,rmse,0.649375,23.0905,0.0375,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_regime,42,regression,ablation,TST-v2-GateFourier,ok,rmse,0.649097,23.9907,0.1917,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
TST-v3-MoE,synthetic_regime,42,regression,ablation,TST-v3-MoE,ok,rmse,0.648799,27.1043,0.0411,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_regime,42,regression,neural_baseline,local_ft_transformer,ok,rmse,0.364128,5.9522,0.018,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_regime,42,regression,ablation,TST-v0-tuned,ok,rmse,0.560467,58.04,0.0401,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_rmse,minimize,0.529403,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_regime,42,regression,ablation,TST-v1-Gate-tuned,ok,rmse,0.564956,59.6925,0.0327,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_rmse,minimize,0.535706,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_regime,42,regression,ablation,TST-v2-GateFourier-tuned,ok,rmse,0.649106,52.4349,0.0376,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_rmse,minimize,0.606968,19,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_regime,42,regression,ablation,TST-v3-MoE-tuned,ok,rmse,0.648577,48.2646,0.0426,1024,20,outputs/benchmark_artifacts/synthetic_regime/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_1e-4,1e-4,val_rmse,minimize,0.607298,15,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_sparse_high_order,42,classification,baseline,linear,ok,accuracy,0.970732,0.0655,0.0033,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_sparse_high_order,42,classification,baseline,random_forest,ok,accuracy,0.965854,0.0774,0.0036,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_sparse_high_order,42,classification,baseline,gradient_boosting,ok,accuracy,0.990244,0.5118,0.0033,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_sparse_high_order,42,classification,baseline,mlp,ok,accuracy,0.960976,0.0711,0.0016,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_sparse_high_order,42,classification,baseline,lightgbm,ok,accuracy,1.0,0.108,0.0047,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_sparse_high_order,42,classification,baseline,catboost,ok,accuracy,0.990244,2.9883,0.0112,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_sparse_high_order,42,classification,ablation,TST-v0,ok,accuracy,0.965854,18.212,0.0964,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_sparse_high_order,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.965854,18.7336,0.0621,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_sparse_high_order,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.965854,24.5595,0.2468,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
TST-v3-MoE,synthetic_sparse_high_order,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.965854,29.0868,0.1252,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_sparse_high_order,42,classification,neural_baseline,local_ft_transformer,ok,accuracy,0.965854,6.8146,0.0324,1024,50,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_sparse_high_order,42,classification,ablation,TST-v0-tuned,ok,accuracy,0.965854,64.5765,0.097,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_accuracy,maximize,0.965854,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_sparse_high_order,42,classification,ablation,TST-v1-Gate-tuned,ok,accuracy,0.965854,58.092,0.0862,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_accuracy,maximize,0.965854,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_sparse_high_order,42,classification,ablation,TST-v2-GateFourier-tuned,ok,accuracy,0.965854,65.6972,0.0793,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_accuracy,maximize,0.965854,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_sparse_high_order,42,classification,ablation,TST-v3-MoE-tuned,ok,accuracy,0.965854,66.9214,0.0736,1024,50,outputs/benchmark_artifacts/synthetic_sparse_high_order/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_1e-4,1e-4,val_accuracy,maximize,0.965854,1,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_axis_aligned,43,classification,baseline,linear,ok,accuracy,0.946341,0.015,0.0024,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_axis_aligned,43,classification,baseline,random_forest,ok,accuracy,0.995122,0.0697,0.0059,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_axis_aligned,43,classification,baseline,gradient_boosting,ok,accuracy,0.990244,0.111,0.0021,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
