model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes
TST-v3-MoE,synthetic_axis_aligned,44,classification,ablation,TST-v3-MoE,ok,accuracy,0.892683,7.2971,0.0266,1024,20,,,
Linear/Ridge,synthetic_xor,44,classification,baseline,linear,ok,accuracy,0.463415,0.007,0.0012,1024,20,,,
Random Forest,synthetic_xor,44,classification,baseline,random_forest,ok,accuracy,0.712195,0.0711,0.0039,1024,20,,,
Gradient Boosting,synthetic_xor,44,classification,baseline,gradient_boosting,ok,accuracy,0.82439,0.2339,0.0019,1024,20,,,
MLP,synthetic_xor,44,classification,baseline,mlp,ok,accuracy,0.756098,0.0637,0.0018,1024,20,,,
LightGBM,synthetic_xor,44,classification,baseline,lightgbm,ok,accuracy,0.995122,0.0579,0.0053,1024,20,,,
CatBoost,synthetic_xor,44,classification,baseline,catboost,ok,accuracy,0.995122,1.5499,0.0031,1024,20,,,
TST-v0,synthetic_xor,44,classification,ablation,TST-v0,ok,accuracy,0.526829,7.7712,0.0251,1024,20,,,
TST-v1-Gate,synthetic_xor,44,classification,ablation,TST-v1-Gate,ok,accuracy,0.526829,6.1409,0.0235,1024,20,,,
TST-v2-GateFourier,synthetic_xor,44,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.526829,6.5961,0.0241,1024,20,,,
TST-v3-MoE,synthetic_xor,44,classification,ablation,TST-v3-MoE,ok,accuracy,0.526829,6.2723,0.0238,1024,20,,,
Linear/Ridge,synthetic_piecewise,44,regression,baseline,linear,ok,rmse,0.765868,0.0041,0.001,1024,20,,,
Random Forest,synthetic_piecewise,44,regression,baseline,random_forest,ok,rmse,0.277101,0.1793,0.0036,1024,20,,,
Gradient Boosting,synthetic_piecewise,44,regression,baseline,gradient_boosting,ok,rmse,0.14682,0.203,0.0019,1024,20,,,
MLP,synthetic_piecewise,44,regression,baseline,mlp,ok,rmse,0.750108,0.0548,0.0014,1024,20,,,
LightGBM,synthetic_piecewise,44,regression,baseline,lightgbm,ok,rmse,0.221305,0.0575,0.0068,1024,20,,,
CatBoost,synthetic_piecewise,44,regression,baseline,catboost,ok,rmse,0.182939,1.2733,0.0031,1024,20,,,
TST-v0,synthetic_piecewise,44,regression,ablation,TST-v0,ok,rmse,0.826928,11.3944,0.0282,1024,20,,,
TST-v1-Gate,synthetic_piecewise,44,regression,ablation,TST-v1-Gate,ok,rmse,0.826838,11.1869,0.0264,1024,20,,,
TST-v2-GateFourier,synthetic_piecewise,44,regression,ablation,TST-v2-GateFourier,ok,rmse,0.826596,12.5728,0.0276,1024,20,,,
TST-v3-MoE,synthetic_piecewise,44,regression,ablation,TST-v3-MoE,ok,rmse,0.826987,7.8005,0.0252,1024,20,,,
Linear/Ridge,synthetic_irrelevant_noise,44,classification,baseline,linear,ok,accuracy,0.863415,0.008,0.0026,1024,100,,,
Random Forest,synthetic_irrelevant_noise,44,classification,baseline,random_forest,ok,accuracy,0.839024,0.1228,0.0035,1024,100,,,
Gradient Boosting,synthetic_irrelevant_noise,44,classification,baseline,gradient_boosting,ok,accuracy,0.941463,0.9702,0.0021,1024,100,,,
MLP,synthetic_irrelevant_noise,44,classification,baseline,mlp,ok,accuracy,0.858537,0.1335,0.0024,1024,100,,,
LightGBM,synthetic_irrelevant_noise,44,classification,baseline,lightgbm,ok,accuracy,0.941463,0.2721,0.0039,1024,100,,,
CatBoost,synthetic_irrelevant_noise,44,classification,baseline,catboost,ok,accuracy,0.936585,5.6823,0.0062,1024,100,,,
TST-v0,synthetic_irrelevant_noise,44,classification,ablation,TST-v0,ok,accuracy,0.517073,34.1249,0.12,1024,100,,,
TST-v1-Gate,synthetic_irrelevant_noise,44,classification,ablation,TST-v1-Gate,ok,accuracy,0.517073,36.5145,0.123,1024,100,,,
TST-v2-GateFourier,synthetic_irrelevant_noise,44,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.517073,44.6774,0.1348,1024,100,,,
TST-v3-MoE,synthetic_irrelevant_noise,44,classification,ablation,TST-v3-MoE,ok,accuracy,0.517073,35.3849,0.1315,1024,100,,,
Linear/Ridge,synthetic_rotated,44,classification,baseline,linear,ok,accuracy,0.960976,0.0067,0.0011,1024,20,,,
Random Forest,synthetic_rotated,44,classification,baseline,random_forest,ok,accuracy,0.941463,0.056,0.004,1024,20,,,
